_id,synthetic_question,synthetic_answer
7069636,What is the maximum number of people that can stay in this apartment?,6 people
23896389,What is the size of the apartment?,90 square meters.
22060712,What is the neighborhood of this apartment?,The apartment is located in the Lower East Side.
10624493,What is the square footage of the apartment?,736 square feet.
26764641,What is the maximum number of people that can stay in this apartment?,Three people can stay in this apartment.
10112159,What is the location of the property in relation to the city center?,"The property is located at a short walking distance from the historic center, making it convenient for exploring the city's attractions."
32008291,What is the maximum number of people that can stay in this apartment?,"The apartment can accommodate at least 4 people, as it offers a bed and additional mattresses."
20180729,What is the proximity of the property to the nearest metro station?,The property is a 5-minute walk from the Kozyatağı metro station.
9056827,How many people can stay in the room?,"The room can accommodate up to 4 people, including the guest and 3 potential roommates."
15581379,What public transportation is available near the studio apartments?,"The apartments are located near 24-hour public transportation, with bus stops at the corner and two metro lines (Frontenac and Sherbrooke) within walking distance."
11848397,What is the distance from the apartment to the city center?,The apartment is approximately 4 kilometers from Sydney's CBD.
5448834,What public transportation is easily accessible from the apartment?,"The apartment is conveniently located near various public transportation options. It is an 8-minute walk from the Tin Hu metro station and a 3-minute walk to a bus station that serves the airport and popular destinations like Wanchai, Central, and Mongkok. Additionally, express buses to mainland cities like Guangzhou are available downstairs from the apartment building."
30310595,What is the maximum number of people that can be accommodated in the largest apartment?,8 people
17575897,What is the closest metro station to the apartment?,"The description mentions that the apartment is a 5-minute walk from two metro stations, so the closest metro station is likely within a 5-minute walking distance."
571382,What is the distance to the nearest beach?,The apartment is an 8-minute walk from Leça beach.
16517991,What is the architectural style of the property?,The property boasts an early 20th-century architectural style.
16881588,What is the minimum age required to book the 2-bedroom condo?,"The minimum age requirement is 21 years old, and the name on the confirmation must match the guest checking in."
15665837,What amenities are available in the complex where the property is located?,"The complex offers a range of amenities, including a Woolworths, BWS, restaurants, and a train station."
31431457,What is the maximum number of guests this property can accommodate?,2
19599721,What is nearby the property that would be useful for grocery shopping?,"The property is conveniently located opposite to Coles, Aldi, and an Asian grocery store, making it easy to access various grocery options for daily needs."
3102202,What type of TV does the property have?,The property has a flat-screen TV.
4178954,What is the price of the optional breakfast?,"The optional breakfast is 2,5€ per guest."
31099467,What amenities are available on the beach near the property?,"You can rent chairs and umbrellas, and the kiosks offer a range of food and drinks, including water, snacks, sandwiches, and meals."
3040870,What is the maximum number of bedrooms available in this apartment?,3
30134392,What amenities are provided in the apartment?,"The apartment includes a private kitchen, bathroom, disposable toiletries, and high-speed WiFi."
15241263,What type of bed is in the room?,King size bed.
19029043,What is the maximum number of guests the apartment can accommodate?,8 guests
11136898,What is the neighborhood like?,"The property is located in a quiet and safe neighborhood in the Eixample district, central Barcelona, allowing you to easily explore the city on foot or by bicycle."
20711019,What amenities are available for guests to use?,"Guests have access to the kitchen, rest rooms, living areas, and coin laundry."
21430389,What is the language spoken by the host of this property?,"The host speaks English, Chinese, and Japanese."
9296889,What type of bed linens are provided in the property?,"High quality linens, bedspreads, and pillows are provided, ensuring a comfortable and luxurious sleep experience."
16532230,What award has this property won?,"The property has won the Airbnb ""SuperHost"" award for consistently high guest reviews."
23275462,What type of pet is available at this property?,The property has a cat.
13115342,What is the property's proximity to Barcelona's iconic landmarks?,"The property is located near the Arco de Triunfo de Barcelona, making it an ideal choice for those seeking easy access to this iconic landmark."
18905958,What is the closest beach to this property?,"The property is a 10-minute walk from the beach, likely referring to Bondi Beach, which is famous for its surfing and the Bondi Icebergs swimming club."
3404472,What type of entertainment options are available in the property?,"The property offers a unique experience with a record player and solid sound system for vinyl enthusiasts, as well as a TV with Apple TV for entertainment. Additionally, the host mentions that the apartment is used as a creative space for lighting design and art, providing guests with an immersive and ever-changing artistic environment."
14236416,What amenities does the property have?,"The property has a comfy bed, a hot shower, an elevator, and WiFi."
32166129,What is the check-out time for this apartment?,"The check-out time is normally 10 AM, but guests can request a later check-out if there are no new guests arriving on the same day."
1211274,What architectural features does this property have?,"The property boasts mosaic flooring and high, ornate ceilings."
22346270,What amenities are available in the outdoor area?,The outdoor courtyard has a barbecue and access to the private room.
26488387,What popular attractions are within a 10-minute walk from the property?,"The property is located in a touristy area, within a 10-minute walk of major tourist attractions, including the famous La Rambla, the Cathedral, and the Gothic Quarter."
25956760,What is the maximum number of guests allowed in the property?,2
26755714,What type of property is described as having a spacious balcony with a scenic view?,"The property description indicates that it has a balcony with a view, which could be an attractive feature for those seeking a relaxing outdoor space with a scenic backdrop."
32928274,Is the property a separate apartment with one bedroom and one living room?,"Yes, the property description indicates that it is an independent space with a separate bedroom and living room."
28884716,What type of property is described as having a private hot tub?,"The property description mentions a private hot tub, indicating that it is likely a vacation rental or a private residence with amenities tailored for relaxation and comfort."
6671678,What is the minimum rental duration for this property?,2 months.
31110464,What amenities are included in the weekly cleaning service?,"The weekly cleaning service includes general cleaning and maintenance, ensuring the property is kept in good condition."
6006815,What is the proximity of the property to the nearest metro station?,The property is a 7-minute walk from the metro station and about 10 minutes on foot.
28955950,What type of property is described here?,"The description does not provide information about the type of property, but it might be a hotel or a vacation rental."
9562872,What is the approximate travel time to Manhattan by subway?,The property description mentions that Manhattan is approximately 25 minutes away by subway.
22144662,What is the location of this property in relation to Penn Station?,This property is located a short 3-block walk from Penn Station.
24999091,What is the maximum number of people this property can accommodate?,"This property is a one-bedroom townhouse, so it is likely best suited for two people, making it a romantic getaway for couples celebrating special occasions like anniversaries or honeymoons."
16701536,What amenities are available within 200 meters of the property?,"Supermarket, bakery, healthcare, and pharmacy."
13846473,What is the bathroom situation in this property?,"The property has a shared bathroom, which is used by the guests of one other room with two people."
27745034,What amenities are provided in the apartment?,"The apartment offers a cozy atmosphere with a great dining table, corner sofa, pillows, and beautiful blankets."
20450522,What is the size of the apartment?,80m2
14744918,What is the size of the flat?,27m2
11567179,What is the neighborhood like around this property?,"The property is located in the heart of bustling, hip Bushwick, known for its great restaurants, bars, cafes, art studios, and yoga studios. It is also near a park with a farmers market, offering a vibrant and convenient neighborhood experience."
12291906,What amenities are available in the building?,"The building has a 24-hour doorman, and is conveniently located near the metro, bus, market, bank, and other shops."
27226046,What is the location of this apartment?,The apartment is located in the center of Porto.
7205861,What is the maximum number of people that can sleep in the living room?,"Two people can sleep in the living room, as the full-size sleeper sofa accommodates two."
18809312,What amenities are included in the room?,"The room includes a double bed, closet, big desk, blankets, and towels."
26365414,Is there a BBQ available for guests to use?,"Yes, there is a BBQ on a small terrace that guests can access and use."
15099382,What is the maximum capacity of the apartment?,"The apartment is perfect for couples, solo travelers, and business travelers, suggesting a maximum capacity of 2 people."
27355273,What type of person is the homeowner looking for as a guest?,The homeowner is looking for fun and chill people to stay at their property.
1092760,What is the host's policy on bringing additional guests to the property?,"The host requests that guests do not bring people to hang out, party, or for sleepovers."
10317142,What is the maximum number of people that can sleep in the property?,"The description does not specify a maximum capacity, but with 4 bedrooms and various sleeping options, it can likely accommodate a large family or group."
1593570,What amenities are offered in the kitchen?,"The kitchen is equipped with a fridge, stove, microwave, coffee machine, and grill."
1169088,How many people can the apartment accommodate?,Up to 6 people.
27784079,What amenities are available in the rooms at Ginalinda's?,"The rooms at Ginalinda's come equipped with air conditioning, a mini refrigerator, and a television."
11933497,What is the availability of the room?,The room is available from 29-3 till 11-4.
9736844,What is the view like from the property's balcony?,The balcony has a view of palm trees and the ocean.
223930,What are some nearby attractions within a 5-minute walk from the apartment?,"The Brooklyn Museum, Prospect Park, and the Botanical Gardens are all within a 5-minute walk, offering cultural and natural experiences."
1635672,What is the neighborhood like where the studio apartment is located?,"The studio is in the West Village, a vibrant neighborhood known for its lively atmosphere, offering easy access to numerous restaurants, bars, jazz clubs, shops, and subway lines, all within a short distance. It's situated on a quiet street, providing a peaceful retreat while being close to the action."
20728606,What is the email address to contact the host?,(EMAIL HIDDEN)
15979078,What is the location of this apartment?,"The apartment is located in Porto downtown, near Avenida dos Aliados and Trindade subway station."
24981028,What is the distance from the property to the Temple Street Night Market?,The Temple Street Night Market is approximately 1.6 km from the Astronaut's Hotel.
26558762,What type of view can guests expect from the apartment?,"Guests can enjoy a garden view, taking in the peaceful atmosphere and beautiful sunsets."
24874349,What is the proximity of the property to public transportation?,"The property is a few minutes' walk from Kings Cross Station, offering easy access to public transportation."
16134812,What is the neighborhood like where the apartment is located?,"The apartment is situated in Zetland, a vibrant and relatively new precinct in Sydney's inner-east. The neighborhood offers a great urban lifestyle with excellent coffee, restaurants, and a fun community atmosphere. It caters to singles, couples, and families, providing a balance between a bustling city vibe and peaceful living."
27814857,What type of parking is available at this property?,"On-street parking is available, but no permit is required."
13316078,What amenities are nearby?,"The property is located near a shopping mall, beach, supermarket, and restaurants."
25845370,Hangi odalar bahceye bakiyor?,Yatak odaları.
4158278,What is the maximum number of people that can sleep in this property?,10
2119780,What type of transportation is available near the property?,"The property is located in a convenient area with direct transportation to the Olympic Park, which is about a 10-minute ride away. It is also close to shopping malls, movie theaters, and beaches, indicating that there are likely bus routes or other public transportation options nearby."
29761068,What is a nearby attraction that guests can visit on foot?,Jardim do Calem
9643051,What amenities are provided in the property?,"The property offers a comfortable full-size bed, a hammock, a fan, clean linens, towels, soaps, access to two bathrooms, a great breakfast, wireless internet, and a shared kitchen with refrigerator space."
951837,What is the minimum stay required during the Christmas season?,7 nights.
19830008,What neighborhood is the property located in?,East Village.
17996862,What type of view can you expect from the lanai?,"The lanai offers garden, mountain, and partial ocean and fairway views."
6240880,What amenities does the condo offer for cooking and dining?,"The condo provides a fully equipped kitchen with a full-size refrigerator, stove, oven, microwave, coffee maker, flatware, utensils, and even a wine opener, allowing guests to prepare meals and enjoy dining in."
1112838,What is the maximum number of guests this apartment can accommodate?,"The apartment can accommodate up to 6-7 guests, with 3 double rooms available."
15803265,Is this property suitable for a family vacation with children?,"No, the host specifies that the space is suitable for couples and business travelers, suggesting it may not cater to families with children."
23771506,What is the location of the apartment?,"The apartment is located in the heart of Old Montreal, close to the business district and various tourist attractions like la Basilique Notre Dame, Place Jacques Quartier, and Palais des Congrés."
19319,What amenities are included in the bedroom?,"The bedroom includes a queen-size bed, large closet space, a library, night table, AC, heater, and a view of the Manhattan and Brooklyn Bridge."
32823084,What is the maximum occupancy of this property?,6 people.
12657285,What is the maximum number of people that can sleep in the apartment?,8
6252815,What is the minimum length of stay for this property?,3 nights.
18999236,What amenities are provided in the deluxe single room?,"The room offers a private bathroom, free high-speed WiFi, a full set of toiletries, towels, slippers, a hair dryer, and a kettle."
15603491,How many people can the apartment comfortably accommodate?,3 people
20570876,What amenities are nearby the apartment?,"The apartment is conveniently located near a market, pharmacy, banks, bars, restaurants, and the beach."
26060837,What type of property is described as having a spacious balcony with a view of the ocean?,"The property description suggests a beachfront or coastal property with a balcony offering a scenic view of the ocean, which could be appealing to those seeking a relaxing vacation rental or a home with a beautiful outdoor space."
25183276,How far is the property from the beach?,"The property is conveniently located just 2 blocks from Ipanema Beach and 3 blocks from Copacabana Beach, making it an ideal choice for beachgoers."
29770616,What is the maximum number of people that can sleep in the living room?,5
18527139,What is a popular attraction located across the street from the property?,Parc la Fontaine.
21145923,What is the maximum number of people that can be seated at the dining table?,10
5347035,What is the proximity of the property to Bondi Beach?,The property is a 3-minute walk from Bondi Beach.
26664547,What is the maximum number of people the apartment can accommodate?,The apartment can accommodate up to 4 people with its one double bed and two single beds.
18909301,What is the maximum number of people that can stay in this flat?,4 people
22266125,What type of view can you expect from this property?,The property boasts a panoramic ocean view.
31507104,What type of property is described as having a cozy fireplace?,"A property with a cozy fireplace is likely a cottage, cabin, or a lodge-style home."
27031450,What type of bed is provided in the upstairs loft?,King Size Bed.
17263550,What type of events does the host occasionally organize at this property?,"The host mentions that they occasionally host jazz, classical, and indie-rock concerts at the townhouse."
13318405,What beach is within walking distance of this property?,Sunset Beach is a short walk away from the property.
29503086,What is the minimum length of stay for this property?,29 days.
12014026,Is the property conveniently located near public transportation?,"Yes, the property is near an MTR station, making it easily accessible for guests who want to explore the city using public transport."
20893660,Is this property close to the Rock in Rio festival?,"Yes, the property is approximately 2 kilometers away from the Rock in Rio 8 event."
1656585,What is the apartment's location?,"The apartment is located in Greenwich Village, a desirable neighborhood in New York City, and is within walking distance to popular areas like SOHO, Washington Square, and the West Village."
31089327,What is the closest beach to the property?,Maroubra beach is a 20-minute drive from the property.
4964534,What amenities are available for guests to use?,"Guests have access to a kitchen, barbecue, pizza oven, microwave, toast oven, dishwasher, washing machine, and Wi-Fi."
12762350,What is the cost of staying at the Westin Kaanapali Ocean Resort Villas South timeshare for less than 7 nights?,$38/res.
30163487,What type of property is described as having a cozy fireplace and a large backyard?,A cabin or cottage-style property.
22672234,How many people can the apartment accommodate?,The apartment is ideal for 4 people.
27156997,What is the closest metro station to the property?,Levent metro station is a 10-minute walk from the property.
16280815,What type of bed does the apartment have?,The apartment features a hotel quality queen size Serta Mattress.
4144356,What is the hostel's proximity to popular tourist attractions in Istanbul?,"Planet Paprika Hostel is conveniently located near many famous attractions in Istanbul, such as the Grand Bazaar, Spice Bazaar, Blue Mosque, St. Sophia, Topkapi Palace, and Sultan Ahmet. It's within walking distance to many of these sites, offering easy access to the city's rich history and culture."
1481361,What is the view from the balcony?,"The balcony offers a stunning view of the beach and the horizon, allowing you to watch the waves while enjoying a drink."
8664238,What amenities are provided in the apartment's bathroom?,"The bathroom is equipped with a shower plate, a washing machine, and towels."
1264811,What amenities are available in the building?,The building has surveillance cameras and a 24-hour doorman for added security and peace of mind.
6243157,What is the maximum number of people that can stay in the apartment?,"The description does not specify a maximum occupancy, but it has at least one bedroom and a finished basement, suggesting it can accommodate multiple guests."
30675711,What amenities are provided in the apartment?,"The apartment includes air conditioning in all rooms, a washing machine, and an open-plan living and dining area."
14960783,What is the apartment's proximity to shopping malls and public transportation?,"The apartment is conveniently located near two shopping malls and has easy access to the subway, making it an ideal choice for those seeking convenient shopping and transportation options."
17310577,What amenities are available at the property?,"The property offers a swimming pool, outdoor shower, barbecue area, and a charming condominium with 24/7 security."
4294289,What type of fruit trees are on the property?,"The property boasts a variety of fruit trees, including mango, orange, and jack fruit trees."
2263327,What amenities are included in the accommodation?,"The accommodation includes AC, Cable TV, Wifi, a fridge, toaster oven, electric coffee maker, cups, dishes, cutlery, a hair dryer, heated swimming pool, fitness center, sauna, and daily cleaning service."
1155885,What neighborhood is the property located in?,"The property is located in the Stuyvesant Heights area of Bed-Stuy, Brooklyn."
30507198,What kind of view can you expect from the property?,"The property boasts panoramic views of the ocean, with sights of Molokai and Lanai. From the balconies, one can enjoy sunsets, observe surfers at S Turn, and potentially spot turtles and whales during the winter season."
3237666,What is the closest public transport station to the property?,"The property is a 3-minute walk from a metro station, a 4-minute walk from a bus station, and a 5-minute walk from the Tram Station “Fındıklı”."
13875927,How many people can the flat accommodate?,The flat can comfortably sleep up to 4 people.
6893344,Bu tesisin yakınında hangi tarihi yer bulunmaktadır?,Sultan Ahmet Cami
7127684,What size bed is in the private bedroom?,The private bedroom has a full-size bed.
11533406,How many people can the apartment accommodate?,"The apartment can accommodate 3 people, ideally a couple and a single individual."
22730070,What is the maximum number of guests that the Feels Like Home Gallery Seaside House can accommodate?,8 guests
30430804,What type of property is described here?,"The description does not provide enough information to determine the type of property, as it is missing."
5640127,Are there any accessibility features for people with disabilities at this property?,"The description and amenities list do not mention any specific accessibility features for people with disabilities. It is always best to contact the host or property manager to inquire about specific accessibility accommodations, as they may be able to provide more detailed information or make arrangements to ensure a comfortable stay for guests with disabilities."
5640127,What is the pool like?,"The pool is an infinity pool, but it is not heated."
5640127,Does the property have a hot tub?,"Yes, the property features a jacuzzi."
4761793,Is the apartment wheelchair accessible?,"Yes, the apartment is wheelchair accessible and has an elevator."
4761793,Is there an elevator in the building?,"Yes, the building has an elevator."
4761793,What amenities are offered for families with children?,"The apartment is family/kid friendly and offers a washer and dryer, as well as essentials like shampoo and hangers."
24916551,Is the house wheelchair accessible?,"The description does not mention wheelchair accessibility, and the amenities list does not include any accessibility features. It is best to contact the host directly to inquire about wheelchair accessibility and any potential modifications that can be made to accommodate your needs."
24916551,Does the house have a backyard?,"Yes, the house has a backyard, but it is currently under construction as a granny flat is being built."
24916551,Does the property have a private living room?,"Yes, the property features a private living room."
10948197,Are there any accessibility features for people with disabilities at this property?,"The listing does not mention any specific accessibility features for people with disabilities, but it does offer a first aid kit, safety card, and fire extinguisher. It is best to contact the host directly to inquire about specific accessibility needs and accommodations."
10948197,What amenities are available at this property?,"This property offers a range of amenities, including TV, internet, Wi-Fi, air conditioning, a pool, a kitchen, paid parking, free street parking, heating, family/kid-friendly facilities, a washer, dryer, smoke detector, first aid kit, safety card, fire extinguisher, essential items, shampoo, 24-hour check-in, hangers, a hair dryer, iron, laptop-friendly workspace, self-check-in, lockbox, hot water, and paid parking on the premises."
10948197,Does the property have a pool?,"Yes, the property has a pool."
3014692,Does the apartment have wheelchair access?,"Yes, the apartment is wheelchair accessible."
3014692,What kind of parking is available?,There is paid parking on the premises and off the premises.
24163558,Are there any accessibility features for people with disabilities at this property?,"The property description does not mention any specific accessibility features for people with disabilities, but it does offer central air conditioning, free parking, and the host is willing to provide transportation to the train station, which could be beneficial for those with mobility challenges."
24163558,Does the property have a private living room?,"Yes, the property offers a private living room for guests to relax and unwind."
24163558,Does the property have air conditioning?,"Yes, the property has central air conditioning throughout the house."
15908244,Are there any accessibility features for people with disabilities at this property?,"Unfortunately, the property description does not provide specific details about accessibility features for people with disabilities. However, it does mention an 'Elevator' and a 'Lock on bedroom door', which could be beneficial for guests with mobility challenges. It's recommended to contact the host directly to inquire about specific accessibility accommodations to ensure the property meets your needs."
15908244,Does the property have an elevator?,"Yes, the property offers an elevator for guests' convenience."
15908244,Does the property have a TV?,"Yes, a TV is provided.

Q: Is there Wi-Fi available at the property?
A: Yes, Wi-Fi is listed as an amenity.

Q: Can I bring my pet with me?
A: Yes, pets are allowed at this property.

Q: Is there a kitchen available for guest use?
A: Yes, the property includes a kitchen as an amenity.

Q: Are there any accessibility features like an elevator?
A: The property does have an elevator."
20245250,Are there any accessibility features for guests with disabilities?,"The listing does not mention any specific accessibility features for guests with disabilities, such as wheelchair accessibility or specialized equipment. It is best to contact the host directly to inquire about any specific accessibility needs you may have."
20245250,Are there any stairs in the building?,"The property description mentions an elevator, so there are likely stairs as well, but the elevator provides an alternative for those who prefer or require it."
20245250,Are there any pets in the house?,"Yes, there are cats and a toddler in the house."
19800005,Is the room wheelchair accessible?,"The listing does not mention any accessibility features for people with disabilities, such as wheelchair accessibility. It does mention that the room is on the same floor as the common areas, including the bathroom, living room, and kitchen, but it does not specify if there are any ramps or elevators to access these areas. It's best to contact the host directly to inquire about specific accessibility accommodations."
19800005,Does the room have a balcony?,"Yes, the room has a balcony."
12509339,Does the property have wheelchair access?,"The property listing does not mention any specific accessibility features for people with disabilities, such as wheelchair access. It would be best to contact the host directly to inquire about accessibility options and accommodations for guests with disabilities to ensure your needs can be met."
12509339,Is there a pool on the premises?,"Yes, the property features a swimming pool."
12509339,Is there a kitchen available for guests to use?,"Yes, a kitchen is listed as one of the amenities."
29602186,Is the apartment wheelchair accessible?,"The listing does not mention any accessibility features for people with disabilities, such as wheelchair accessibility. It is best to contact the host directly to inquire about specific accessibility accommodations."
29602186,Is there a pool?,"Yes, the apartment has a pool."
29602186,Is there a private bathroom?,"No, the listing does not mention a private bathroom."
32645900,Is the accommodation wheelchair accessible?,"No, the accommodation is not wheelchair accessible as it is located on the third floor of a walk-up building."
32645900,Is there a lift in the building?,"No, the listing states that the apartment is on the third floor and is accessed by stairs."
32645900,Is there air conditioning in the studio?,"Yes, the studio has air conditioning."
29507756,Is the apartment wheelchair accessible?,"Yes, the apartment is located on the ground floor and features step-free access, wide doorways, and an accessible-height bed, making it suitable for wheelchair users."
29507756,Does the apartment have a step-free access?,"Yes, the apartment has step-free access and wide doorways to accommodate guests with mobility needs."
18215500,Are there any accessibility features for guests with disabilities?,"Yes, the listing offers a wide range of accessibility features, including wide hallways and doorways, step-free access, an accessible-height bed and toilet, and a handheld shower head."
18215500,Is there a private bathroom for guests?,"No, the bathroom is shared with the hosts."
18215500,What type of bed is in the second bedroom?,The second bedroom has a full-size bed.
7596078,Is the apartment wheelchair accessible?,"No, the apartment is located on the fourth floor and is only accessible via stairs, so it may not be suitable for those with limited mobility or wheelchair users."
7596078,Is there air conditioning in the apartment?,"Yes, the apartment is equipped with air conditioning to keep you cool during your stay."
7596078,Does the apartment have a bathtub?,"No, the bathroom has a shower but no tub."
18107774,Is the property wheelchair accessible?,"The property description does not mention any specific accessibility features for people with disabilities, such as wheelchair accessibility. It would be best to contact the host directly to inquire about any accessibility accommodations they may offer."
18107774,Is there an elevator in the building?,"Yes, the building has an elevator."
18107774,Does the property have a kitchen?,"Yes, the property includes a kitchen as one of its amenities."
12924287,Is the apartment wheelchair accessible?,"The description does not mention wheelchair accessibility, but the host mentions that they will leave the cabinets and drawers in the bedroom ready for the guest, which could indicate some level of accessibility. It is best to contact the host directly to confirm if the apartment meets your specific accessibility needs."
12924287,What is the parking situation at this apartment?,The apartment offers paid parking off premises and free street parking.
13728712,Is the building wheelchair accessible?,"The property description does not mention any accessibility features for people with disabilities, and the access section is left blank, so it is unclear if the building is wheelchair accessible. It is an older building, so it may not have been retrofitted with accessibility features."
13728712,What subway lines are close to the property?,The property is close to the L and M subway lines.
3503965,Does the property have any accessibility features for people with disabilities?,The property description does not mention any accessibility features for people with disabilities.
3503965,Is there a TV in the accommodation?,"Yes, the property has a TV and cable TV."
3503965,Does the property have a television?,"Yes, the property includes a TV with cable access.

Q: Is there internet available at the property?
A: Yes, the property provides Wi-Fi access.

Q: What kitchen appliances are available for use?
A: The kitchen includes a washer, dryer, and iron.

Q: Are there any hair care products provided?
A: Yes, the property provides shampoo and a hair dryer.

Q: Is there a host available to greet guests?
A: Yes, the host will greet you upon arrival."
12452082,Does the apartment have wheelchair access?,"The description does not mention wheelchair access, and there is no access information provided."
12452082,Does the apartment have a washer and dryer?,"Yes, the apartment amenities include a washer."
12452082,Does the apartment have air conditioning?,"Yes, the apartment is equipped with air conditioning."
26549061,Is the property wheelchair accessible?,"The property description does not mention any specific accessibility features for people with disabilities, such as wheelchair accessibility. It would be best to contact the host directly to inquire about specific accessibility accommodations and to ensure the property meets your needs."
26549061,What type of parking is available at this property?,The property offers free parking on the premises.
26549061,Does this property have a kitchen?,"Yes, the property has a kitchen and a BBQ grill."
19981877,Is the property wheelchair accessible?,"Unfortunately, the property description does not explicitly mention wheelchair accessibility. However, it does mention that the building has been renovated, and the room is located on the ground floor, which might be helpful for guests with limited mobility. It's best to contact the host directly to inquire about specific accessibility needs and accommodations."
19981877,What type of bed is in the private room?,The private room features a full-size memory foam mattress.
19981877,What kind of bed is in the room?,The room contains a full-size memory foam mattress.
6342801,Are there any accessibility features for people with disabilities in the apartment?,"The apartment listing does not explicitly mention any accessibility features for people with disabilities. However, it does mention that all areas are accessible to guests, which may include accessibility features. It is recommended to contact the host directly to inquire about specific accessibility accommodations and to ensure the space meets your needs."
6342801,Does the apartment have a washer and dryer?,"Yes, the apartment is equipped with a washer and dryer for your convenience."
31208538,Are there any accessibility features for guests with disabilities?,"The listing does not mention any specific accessibility features for guests with disabilities, but it does mention an elevator, which could be useful for those with limited mobility. It is recommended to contact the host for specific accessibility details."
31208538,Is there a gym on-site?,"Yes, the property offers access to a gym for guests."
31208538,Is there a pool?,"Yes, the compound has a pool.

Q: Is there air conditioning?
A: Yes, the apartment is equipped with air conditioning.

Q: Is there a gym?
A: Yes, guests have access to the compound's gym.

Q: Is there free parking?
A: Yes, free parking is available on the premises.

Q: Are pets allowed?
A: Yes, this location is pet-friendly."
13411324,Is the building wheelchair accessible?,The listing does not mention wheelchair accessibility.
13411324,Is there a kitchen?,"Yes, guests are welcome to use the kitchen."
13411324,Is there a TV in the room?,Yes.
27581537,Is the apartment wheelchair accessible?,"Unfortunately, the property description does not mention any accessibility features for people with disabilities, including wheelchair access. It would be best to contact the host directly to inquire about specific accessibility accommodations."
27581537,Does the apartment have a kitchen?,"Yes, the apartment is equipped with a kitchen."
27581537,Does the apartment have a kitchen?,"Yes, the apartment is equipped with a kitchen."
19877430,Does the property have a wheelchair accessible entrance?,"Yes, the property offers a separate entrance with private parking, and the listing mentions a ""wide doorway"" and ""well-lit path to entrance,"" which can be beneficial for accessibility."
19877430,Is there a private entrance to the property?,"Yes, the duplex has a separate entrance with private parking."
19877430,Is there a kitchen available for guests to use?,"Yes, a kitchen is one of the listed amenities."
28350222,Does the property have wheelchair access?,"Unfortunately, the property listing does not provide specific details about wheelchair access or accessibility features. It would be best to contact the host directly to inquire about any accommodations for guests with disabilities."
28350222,Does the property have a pool?,"Yes, the property offers a pool as one of its amenities."
10108388,Does the apartment have step-free access and a well-lit path to the entrance?,"Yes, the apartment features step-free access and a well-lit path to the entrance, ensuring easy accessibility."
10108388,Does the apartment have a pool?,"Yes, the apartment building has a pool located on the rooftop area, which also offers stunning views of Hyde Park and the city."
10108388,Does the apartment have a washer and dryer?,"Yes, the apartment has a washer and dryer located on the mezzanine level, which are coin operated."
19373991,Is the apartment wheelchair accessible?,The property listing does not mention wheelchair accessibility.
19373991,What is the maximum number of people that can stay in the apartment?,The apartment can comfortably accommodate up to 4 people.
19373991,Is there a TV in the apartment?,"Yes, there is a TV with cable TV access."
14733479,Does this property have wheelchair access?,"The property listing does not mention any specific wheelchair access, and the multiple levels and stairs within the home may present challenges for individuals with limited mobility."
14733479,Does the property have a pool?,"Yes, the property has a pool."
24498566,Are there any accessibility features for people with disabilities at this property?,"Unfortunately, the property description does not mention any specific accessibility features for people with disabilities. The bedroom is located upstairs, which may not be accessible for those with limited mobility. There is no information provided about wheelchair access or accommodations for other disabilities. It would be best to contact the host directly to inquire about specific accessibility needs before booking."
24498566,Is there a washer in the house?,"Yes, a washer is listed as one of the amenities."
24498566,Does the property have a private bathroom?,"The listing does not explicitly mention a private bathroom, but it does state that the bedroom is private and guests have full use of the kitchen, dining room, living room, and garden, so it's possible that a bathroom is also available for private use."
18377036,Is the room wheelchair accessible?,"No, the listing does not mention wheelchair accessibility."
18377036,Is there a private bathroom in the room?,"No, the bathroom is shared with other guests."
28493846,Does La Sera Pera Taksim Suites have wheelchair accessible rooms?,"Unfortunately, there is no mention of wheelchair accessibility in the property description, amenities, or access details. It is best to contact the property directly to inquire about their ability to accommodate guests with disabilities and any specific accessibility features they may have."
28493846,Does the property have a kitchen?,"Yes, the property features a full kitchen with kitchenware and a coffee machine."
28493846,Does the property have a kitchen?,"Yes, the property has a full kitchen with kitchenware and a coffee machine."
2856208,Is the property wheelchair accessible?,"Unfortunately, the property listing does not mention any specific accessibility features for people with disabilities, such as wheelchair accessibility. It is recommended to contact the host directly to inquire about accessibility and any accommodations they may be able to provide."
2856208,Is there a TV in the rental?,"Yes, there is a LED flat screen television with satellite.

Q: Is there air conditioning in the rental?
A: Yes, the rental has air conditioning.

Q: Is there a kitchen in the rental?
A: Yes, there is a kitchen with an open layout and a refrigerator.

Q: Does the rental have internet access?
A: Yes, the rental offers internet connection.

Q: Is there a hair dryer in the rental?
A: Yes, a hair dryer is provided for guests."
2856208,Does the apartment have a kitchen?,"Yes, the apartment has a kitchen with an open layout."
23700685,Is the accommodation wheelchair accessible?,"The property description does not specify any details about wheelchair accessibility, so it is best to contact the host directly to inquire about accessibility for people with disabilities."
23700685,Is there a TV in the room?,"Yes, the room is equipped with a TV."
23700685,Is there a television in the room?,"Yes, a TV is provided."
26084478,Are there accessible rooms available for people with disabilities?,"While the description does not explicitly mention accessible rooms, it does highlight that the property has an elevator, which can be beneficial for guests with limited mobility. Additionally, the property offers a private entrance and a host greeting, which could be useful for guests with specific accessibility needs."
26084478,Does the property have a pool?,"Yes, the property has a spectacular 25m heated indoor pool and sauna for guests to use."
